Repository,CommitID,Message,Date
Advent-of-Code-2024,a2c53faada178849e445506b3fb72aae157fba39,Create Day 5 folder,2024-12-07 13:14:48+00:00
Advent-of-Code-2024,455343030a340b9840be323e029dca4e0db8b380,adding code files for day 4,2024-12-06 15:56:53+00:00
Advent-of-Code-2024,f9a76f3ceac6bd0d4e4a25c6e23344c07bf790a6,Create README.md for Day 4,2024-12-05 16:44:41+00:00
Advent-of-Code-2024,697df39d5483aaafd6cf77bd4dd0ac5a5beb375a,adding data and code files,2024-12-04 15:58:25+00:00
Advent-of-Code-2024,b9250d81ee9c8d369730ae7cf5f6900a97cc5ac2,Create README.md for Day 3,2024-12-03 17:12:39+00:00
Advent-of-Code-2024,d85b8aeabf3132f4d1c48b21b7e6e8abda730c13,add day2.1.py,2024-12-02 17:00:20+00:00
Advent-of-Code-2024,e029d158d21b9b2da679a5b4c19883d831fe4ae6,adding data,2024-12-01 18:00:36+00:00
Advent-of-Code-2024,0452226a78cf4091b818f8dd82804714e69262f7,adding puzzle details,2024-12-01 17:59:57+00:00
Advent-of-Code-2024,08dae7b443ae03285fefba2d94d0bbe87f9390d8,adding code files for part 1 and 2,2024-12-01 17:58:39+00:00
Advent-of-Code-2024,924b2895755f4499029a31e47a6f4feddeaff329,create readme file for Day 1,2024-12-01 17:57:51+00:00
Advent-of-Code-2024,d73f274af69db2706319d52b5cccbabed4365499,Initial commit,2024-12-01 17:56:51+00:00
Automated-EMI-Reminder-System,9123be72c34af91a49fbf791a1cf2e2805221a2a,add automation template for ui path,2024-10-30 19:23:42+00:00
IDB-Analytics,46b904d8d28f2c857b0f071f455aee9eb2fe0e52,Delete additional files,2024-10-29 04:49:15+00:00
IDB-Analytics,aecff34f64db472ebd9987f755afdc0e5e3ac67a,output file,2024-10-29 04:48:41+00:00
IDB-Analytics,4ab18af1df4f63bc14022e9a1725140ec2452a54,Update README.md,2024-10-29 04:43:59+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,916cb52e214f0d1f3d8a9d340d417cc87da54fea,Update Data Description,2024-10-27 18:11:34+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,e66a8a1984e7c4ad32a65b72a4f8d801f85c8294,Update README.md,2024-10-27 18:07:58+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,66bd6d2edc37f8b9f42a89fd083ec866b169217a,adding existing files,2024-10-27 18:06:29+00:00
Automated-EMI-Reminder-System,8139f3611042b7c6eddcda938c265d363fba8ac4,Update README.md,2024-10-27 17:36:29+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,d5e73fd44ea5d3e77334794f14ef3eeb50234ab5,Update README.md,2024-10-27 17:31:10+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,c11998adb9a31a93437f99fd9cf42a2aabd4a56c,r,2024-10-27 17:30:41+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,3a8c251de88f768dac01ffe793a275f54751b865,remove unnecessary files,2024-10-27 17:30:26+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,899031b62f10700052524e51af992b0b113f0ac1,Update README.md,2024-10-27 17:29:56+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,26c63fd7afb2d1fe6de91abb798d6a62174ddc51,remove unnecessary files,2024-10-27 17:24:05+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,3bd6e774ea9a6129506812af1a18d112c08c6aaa,remove unnecessary files,2024-10-27 17:23:42+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,0b8bd30e532455ebe843d8b455b7d41f424c9ce6,move to data folder,2024-10-27 16:58:02+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,80e8ada24cbba9ed917815f156eba3f540ff6f94,move to data folder,2024-10-27 16:57:29+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,3ea91fa45cd1a5aa4a42791776c6998db0b32a8d,move data folder,2024-10-27 16:56:50+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,1048a261df81ed2a5177c67bb5ec94002417dbc6,create folder for data,2024-10-27 16:56:07+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,110e175f9dccddb50778f512c94b6d20851832f6,Add files via upload,2024-10-27 16:54:11+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,ad7960153fa9f334db19f4697b06a63f245c0b6e,update project description,2024-10-27 16:53:06+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,e584c7f09feb5a4e776b0be309e85a7f788d2505,adding presentation slides,2024-10-27 16:49:19+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,94382449b63f458a2d92ee4eb40a78facc6c9533,Add files via upload,2024-10-27 16:48:39+00:00
Automated-EMI-Reminder-System,a35592b8c2d84977e5292bb9083066ed94723c7d,Update README.md,2024-10-25 14:13:36+00:00
Automated-EMI-Reminder-System,a865dd6385a85d41e099355a22b56a4cd0e748b7,Add files via upload,2024-10-25 14:12:56+00:00
Automated-EMI-Reminder-System,ccc2a54fab11a251a5e32f023068bb316407d389,Initial commit,2024-10-23 15:23:34+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,204a4ad1be06d78771818707556d6317d1b46318,Initial commit,2024-10-23 14:42:24+00:00
Crime-Data-Analysis,f6ff4d7f8411c4288f6f7d89ec625be8b01725ba,adding dataset,2024-05-11 18:17:04+00:00
Crime-Data-Analysis,c12f45c4e6884da46cf44101def76b55c69b8ad4,Delete repeating files,2024-05-11 18:16:15+00:00
Crime-Data-Analysis,7c670cd204b09d7c727759fdcf9ac8627844ada5,Add files via upload,2024-05-11 18:15:44+00:00
Crime-Data-Analysis,4efe05ef965ad053a14ebed2da0ec8017978fa7d,Delete repeating files,2024-05-11 18:14:46+00:00
Crime-Data-Analysis,fbf912e13d7894a8cdc7fdb83878cba6a93ca7eb,Delete repeating files,2024-05-11 18:14:27+00:00
